index,source,target
0,붙여넣기 했어... 이렇게는 되어줘,I pasted it ... be like this
1,파이썬 안에서 글자수만 출력해보자,Let's only print the number of letters in Python
2,프린트가 안되나?,Can't print?
3,차근차근 해보자,Let's take it step by step
4,이번엔 글자수를 뽑아보자,Let's pick the number of letters this time
5,글자수를 문자로 뽑아보자,Let's pick the number of characters as a letter
6,변수처리를 해 보았다. 과연 될 것인가?,I tried to deal with variables.Will it be?
7,다 빼볼까,Let's take it all out
8,리턴에 적용 안 시켜도 변수는 확인되나,"Even if it doesn't apply to the return, the variable is confirmed?"
9,리턴에 적용 안 시켜도 변수는 확인되나,"Even if it doesn't apply to the return, the variable is confirmed?"
10,왜 리턴에만 저걸 쓰면 문제가 생기는 것일까,Why does it happen if you write that only for the return?
11,what time is it now,what time is it now
12,이거라도 되라,Do this
13,한국 말은 됐었지?,Did you speak Korean?
14,how about english,how about english
15,텍스트가 오타가 났다,The text has a typo
16,됐으면 좋겠다,I wish it would be
17,영어에서 한글로 바꾸고 싶어요,I want to change from English to Korean
18,i want to translate,나는 번역하고 싶다
19,이 상태에서도 됩니까?,Can I do this state?
20,oh great,오 좋은
21,근데 할게 주어져서 좋기는 한데 의미가 있나,"But it is good to be given something, but is it meaningful?"
22,다행히 이건 끝이 났습니다,Fortunately this is over
23,it is time to go home soon,곧 집에 갈 시간입니다
24,이거라도 돼서 다행이네요,I'm glad this
25,안녕하세요,hello
26,it's done,끝났다
27,api를 이용하여 번역하였어요,
28,를 이용하여 번역하였어요,
29,를 이용하여 번역하였어요,
30,를 이용하여 번역하였어요,
31,이용하여 번역하였어요,
32,use it,
33,영어로 번역하고 싶어요,
34,i want to translate korea,
35,영어로 번역하고 싶어요,
36,이번에는 되려나,Translation: 이번에는 되려나
37,i think i'm stupid,Translation: i think i'm stupid
38,this is final,Translation: 이것은 최종입니다
39,시간이 오래 걸리는거 같아요,Translation: I think it&#39;s taking a long time
40,안녕하세요,Translation: hello
41,이번엔 앞에가 안 나타났으면 좋겠다,I hope it doesn&#39;t appear in front of me this time
42,특수문자가 나올때가 문제인거 같다,It seems to be a problem with special characters.
43,마이 에스큐엘에 들어갈까?,Should I join My SQL?
44,들어가나?,do you go in?
45,이번엔 될 거 같아,I think it will be this time
